,path,emotion
0,data/train-custom\20190615_014359_sad.wav,sad
1,data/train-custom\20190615_014446_sad.wav,sad
2,data/train-custom\20190615_015152_sad.wav,sad
3,data/train-custom\20190615_184211_sad.wav,sad
4,data/train-custom\20190615_184502_sad.wav,sad
5,data/train-custom\20190615_184517_sad.wav,sad
6,data/train-custom\20190615_202208_sad.wav,sad
7,data/train-custom\20190615_215246_sad.wav,sad
8,data/train-custom\dont-like-this_sad.wav,sad
9,data/train-custom\this-is-awful_sad.wav,sad
10,data/train-custom\this-is-so-bad2_sad.wav,sad
11,data/train-custom\this-is-so-bad3_sad.wav,sad
12,data/train-custom\this-is-so-bad_sad.wav,sad
13,data/train-custom\this-is-the-worst_sad.wav,sad
14,data/train-custom\أعجبني_sad.wav,sad
15,data/train-custom\الفيلم_sad.wav,sad
16,data/train-custom\رائع_sad.wav,sad
17,data/train-custom\سيء_sad.wav,sad
18,data/train-custom\لميعجبني_sad.wav,sad
19,data/train-custom\مقبول_sad.wav,sad
20,data/train-custom\هذا_sad.wav,sad
21,data/train-custom\20190615_015301_neutral.wav,neutral
22,data/train-custom\20190615_202234_neutral.wav,neutral
23,data/train-custom\20190615_202249_neutral.wav,neutral
24,data/train-custom\20190615_205212_neutral.wav,neutral
25,data/train-custom\20190615_205222_neutral.wav,neutral
26,data/train-custom\20190615_205249_neutral.wav,neutral
27,data/train-custom\20190615_211956_neutral.wav,neutral
28,data/train-custom\20190615_212506_neutral.wav,neutral
29,data/train-custom\20190615_232334_neutral.wav,neutral
30,data/train-custom\20190615_232400_neutral.wav,neutral
31,data/train-custom\hamed1_neutral.wav,neutral
32,data/train-custom\hamed2_neutral.wav,neutral
33,data/train-custom\hamed3_neutral.wav,neutral
34,data/train-custom\hamed4_neutral.wav,neutral
35,data/train-custom\hamed5_neutral.wav,neutral
36,data/train-custom\hamed6_neutral.wav,neutral
37,data/train-custom\hamed7_neutral.wav,neutral
38,data/train-custom\hamed8_neutral.wav,neutral
39,data/train-custom\hamed9_neutral.wav,neutral
40,data/train-custom\hamedA_neutral.wav,neutral
41,data/train-custom\hamedB_neutral.wav,neutral
42,data/train-custom\hamedC_neutral.wav,neutral
43,data/train-custom\i-dont-like-this_neutral.wav,neutral
44,data/train-custom\nadjib1_neutral.wav,neutral
45,data/train-custom\nadjib2_neutral.wav,neutral
46,data/train-custom\nadjib3_neutral.wav,neutral
47,data/train-custom\nadjib4_neutral.wav,neutral
48,data/train-custom\nadjib5_neutral.wav,neutral
49,data/train-custom\nadjib6_neutral.wav,neutral
50,data/train-custom\nadjib7_neutral.wav,neutral
51,data/train-custom\nadjib8_neutral.wav,neutral
52,data/train-custom\nadjib9_neutral.wav,neutral
53,data/train-custom\nadjibA_neutral.wav,neutral
54,data/train-custom\nadjibB_neutral.wav,neutral
55,data/train-custom\nadjibC_neutral.wav,neutral
56,data/train-custom\oumaima1_neutral.wav,neutral
57,data/train-custom\oumaima2_neutral.wav,neutral
58,data/train-custom\oumaima3_neutral.wav,neutral
59,data/train-custom\oumaima4_neutral.wav,neutral
60,data/train-custom\oumaima5_neutral.wav,neutral
61,data/train-custom\oumaima6_neutral.wav,neutral
62,data/train-custom\oumaima7_neutral.wav,neutral
63,data/train-custom\oumaima8_neutral.wav,neutral
64,data/train-custom\oumaima9_neutral.wav,neutral
65,data/train-custom\oumaimaA_neutral.wav,neutral
66,data/train-custom\oumaimaB_neutral.wav,neutral
67,data/train-custom\oumaimaC_neutral.wav,neutral
68,data/train-custom\rockikz1_neutral.wav,neutral
69,data/train-custom\rockikz2_neutral.wav,neutral
70,data/train-custom\rockikz3_neutral.wav,neutral
71,data/train-custom\rockikz4_neutral.wav,neutral
72,data/train-custom\rockikz5_neutral.wav,neutral
73,data/train-custom\rockikz6_neutral.wav,neutral
74,data/train-custom\rockikz7_neutral.wav,neutral
75,data/train-custom\rockikz8_neutral.wav,neutral
76,data/train-custom\rockikz9_neutral.wav,neutral
77,data/train-custom\rockikzA_neutral.wav,neutral
78,data/train-custom\rockikzB_neutral.wav,neutral
79,data/train-custom\rockikzC_neutral.wav,neutral
80,data/train-custom\soumaya1_neutral.wav,neutral
81,data/train-custom\soumaya2_neutral.wav,neutral
82,data/train-custom\this-is-the-worst_neutral.wav,neutral
83,data/train-custom\أعجبني_neutral.wav,neutral
84,data/train-custom\الفيلم_neutral.wav,neutral
85,data/train-custom\رائع_neutral.wav,neutral
86,data/train-custom\سيء_neutral.wav,neutral
87,data/train-custom\لميعجبني_neutral.wav,neutral
88,data/train-custom\مقبول_neutral.wav,neutral
89,data/train-custom\هذا_neutral.wav,neutral
90,data/train-custom\20190615_182757_happy.wav,happy
91,data/train-custom\20190615_184150_happy.wav,happy
92,data/train-custom\20190615_184326_happy.wav,happy
93,data/train-custom\20190615_184442_happy.wav,happy
94,data/train-custom\20190615_184526_happy.wav,happy
95,data/train-custom\20190615_202016_happy.wav,happy
96,data/train-custom\20190615_202033_happy.wav,happy
97,data/train-custom\20190615_205123_happy.wav,happy
98,data/train-custom\20190615_205231_happy.wav,happy
99,data/train-custom\20190615_212039_happy.wav,happy
100,data/train-custom\20190615_212053_happy.wav,happy
101,data/train-custom\20190615_213616_happy.wav,happy
102,data/train-custom\20190615_214741_happy.wav,happy
103,data/train-custom\20190615_214753_happy.wav,happy
104,data/train-custom\hamed1_happy.wav,happy
