,path,emotion
0,speech_emotion/data/emodb/wav\03a01Fa.wav,happy
1,speech_emotion/data/emodb/wav\03a01Nc.wav,neutral
2,speech_emotion/data/emodb/wav\03a02Fc.wav,happy
3,speech_emotion/data/emodb/wav\03a02Nc.wav,neutral
4,speech_emotion/data/emodb/wav\03a02Ta.wav,sad
5,speech_emotion/data/emodb/wav\03a04Fd.wav,happy
6,speech_emotion/data/emodb/wav\03a04Nc.wav,neutral
7,speech_emotion/data/emodb/wav\03a04Ta.wav,sad
8,speech_emotion/data/emodb/wav\03a05Fc.wav,happy
9,speech_emotion/data/emodb/wav\03a05Nd.wav,neutral
10,speech_emotion/data/emodb/wav\03a05Tc.wav,sad
11,speech_emotion/data/emodb/wav\03a07Fa.wav,happy
12,speech_emotion/data/emodb/wav\03a07Fb.wav,happy
13,speech_emotion/data/emodb/wav\03a07Nc.wav,neutral
14,speech_emotion/data/emodb/wav\03b01Fa.wav,happy
15,speech_emotion/data/emodb/wav\03b01Nb.wav,neutral
16,speech_emotion/data/emodb/wav\03b01Td.wav,sad
17,speech_emotion/data/emodb/wav\03b02Na.wav,neutral
18,speech_emotion/data/emodb/wav\03b02Tb.wav,sad
19,speech_emotion/data/emodb/wav\03b03Nb.wav,neutral
20,speech_emotion/data/emodb/wav\03b03Tc.wav,sad
21,speech_emotion/data/emodb/wav\03b09Nc.wav,neutral
22,speech_emotion/data/emodb/wav\03b09Tc.wav,sad
23,speech_emotion/data/emodb/wav\03b10Na.wav,neutral
24,speech_emotion/data/emodb/wav\03b10Nc.wav,neutral
25,speech_emotion/data/emodb/wav\08a01Fd.wav,happy
26,speech_emotion/data/emodb/wav\08a01Na.wav,neutral
27,speech_emotion/data/emodb/wav\08a02Fe.wav,happy
28,speech_emotion/data/emodb/wav\08a02Na.wav,neutral
29,speech_emotion/data/emodb/wav\08a02Tb.wav,sad
30,speech_emotion/data/emodb/wav\08a04Ff.wav,happy
31,speech_emotion/data/emodb/wav\08a04Nc.wav,neutral
32,speech_emotion/data/emodb/wav\08a04Tb.wav,sad
