,path,emotion
0,speech_emotion/data/training\Actor_01\01_01_01_01_dogs-sitting_sad.wav,sad
1,speech_emotion/data/training\Actor_01\01_01_01_01_kids-talking_sad.wav,sad
2,speech_emotion/data/training\Actor_01\01_01_01_02_dogs-sitting_sad.wav,sad
3,speech_emotion/data/training\Actor_01\01_01_01_02_kids-talking_sad.wav,sad
4,speech_emotion/data/training\Actor_01\01_01_02_01_dogs-sitting_sad.wav,sad
5,speech_emotion/data/training\Actor_01\01_01_02_01_kids-talking_sad.wav,sad
6,speech_emotion/data/training\Actor_01\01_01_02_02_dogs-sitting_sad.wav,sad
7,speech_emotion/data/training\Actor_01\01_01_02_02_kids-talking_sad.wav,sad
8,speech_emotion/data/training\Actor_01\01_02_01_01_dogs-sitting_sad.wav,sad
9,speech_emotion/data/training\Actor_01\01_02_01_01_kids-talking_sad.wav,sad
10,speech_emotion/data/training\Actor_01\01_02_01_02_dogs-sitting_sad.wav,sad
11,speech_emotion/data/training\Actor_01\01_02_01_02_kids-talking_sad.wav,sad
12,speech_emotion/data/training\Actor_01\01_02_02_01_dogs-sitting_sad.wav,sad
13,speech_emotion/data/training\Actor_01\01_02_02_01_kids-talking_sad.wav,sad
14,speech_emotion/data/training\Actor_01\01_02_02_02_dogs-sitting_sad.wav,sad
15,speech_emotion/data/training\Actor_01\01_02_02_02_kids-talking_sad.wav,sad
16,speech_emotion/data/training\Actor_01\03-02-04-01-01-01-01_sad.wav,sad
17,speech_emotion/data/training\Actor_01\03-02-04-01-01-02-01_sad.wav,sad
18,speech_emotion/data/training\Actor_01\03-02-04-01-02-01-01_sad.wav,sad
19,speech_emotion/data/training\Actor_01\03-02-04-01-02-02-01_sad.wav,sad
20,speech_emotion/data/training\Actor_01\03-02-04-02-01-01-01_sad.wav,sad
21,speech_emotion/data/training\Actor_01\03-02-04-02-01-02-01_sad.wav,sad
22,speech_emotion/data/training\Actor_01\03-02-04-02-02-01-01_sad.wav,sad
23,speech_emotion/data/training\Actor_01\03-02-04-02-02-02-01_sad.wav,sad
24,speech_emotion/data/training\Actor_02\02_01_01_01_dogs-sitting_sad.wav,sad
25,speech_emotion/data/training\Actor_02\02_01_01_01_kids-talking_sad.wav,sad
26,speech_emotion/data/training\Actor_02\02_01_01_02_dogs-sitting_sad.wav,sad
27,speech_emotion/data/training\Actor_02\02_01_01_02_kids-talking_sad.wav,sad
28,speech_emotion/data/training\Actor_02\02_01_02_01_dogs-sitting_sad.wav,sad
29,speech_emotion/data/training\Actor_02\02_01_02_01_kids-talking_sad.wav,sad
30,speech_emotion/data/training\Actor_02\02_01_02_02_dogs-sitting_sad.wav,sad
31,speech_emotion/data/training\Actor_02\02_01_02_02_kids-talking_sad.wav,sad
32,speech_emotion/data/training\Actor_02\02_02_01_01_dogs-sitting_sad.wav,sad
33,speech_emotion/data/training\Actor_02\02_02_01_01_kids-talking_sad.wav,sad
34,speech_emotion/data/training\Actor_02\02_02_01_02_dogs-sitting_sad.wav,sad
35,speech_emotion/data/training\Actor_02\02_02_01_02_kids-talking_sad.wav,sad
36,speech_emotion/data/training\Actor_02\02_02_02_01_dogs-sitting_sad.wav,sad
37,speech_emotion/data/training\Actor_02\02_02_02_01_kids-talking_sad.wav,sad
38,speech_emotion/data/training\Actor_02\02_02_02_02_dogs-sitting_sad.wav,sad
39,speech_emotion/data/training\Actor_02\02_02_02_02_kids-talking_sad.wav,sad
40,speech_emotion/data/training\Actor_02\03-02-04-01-01-01-02_sad.wav,sad
41,speech_emotion/data/training\Actor_02\03-02-04-01-01-02-02_sad.wav,sad
42,speech_emotion/data/training\Actor_02\03-02-04-01-02-01-02_sad.wav,sad
43,speech_emotion/data/training\Actor_02\03-02-04-01-02-02-02_sad.wav,sad
44,speech_emotion/data/training\Actor_02\03-02-04-02-01-01-02_sad.wav,sad
45,speech_emotion/data/training\Actor_02\03-02-04-02-01-02-02_sad.wav,sad
46,speech_emotion/data/training\Actor_02\03-02-04-02-02-01-02_sad.wav,sad
47,speech_emotion/data/training\Actor_02\03-02-04-02-02-02-02_sad.wav,sad
48,speech_emotion/data/training\Actor_03\03-02-04-01-01-01-03_sad.wav,sad
49,speech_emotion/data/training\Actor_03\03-02-04-01-01-02-03_sad.wav,sad
50,speech_emotion/data/training\Actor_03\03-02-04-01-02-01-03_sad.wav,sad
51,speech_emotion/data/training\Actor_03\03-02-04-01-02-02-03_sad.wav,sad
52,speech_emotion/data/training\Actor_03\03-02-04-02-01-01-03_sad.wav,sad
53,speech_emotion/data/training\Actor_03\03-02-04-02-01-02-03_sad.wav,sad
54,speech_emotion/data/training\Actor_03\03-02-04-02-02-01-03_sad.wav,sad
55,speech_emotion/data/training\Actor_03\03-02-04-02-02-02-03_sad.wav,sad
56,speech_emotion/data/training\Actor_03\03_01_01_01_dogs-sitting_sad.wav,sad
57,speech_emotion/data/training\Actor_03\03_01_01_01_kids-talking_sad.wav,sad
58,speech_emotion/data/training\Actor_03\03_01_01_02_dogs-sitting_sad.wav,sad
59,speech_emotion/data/training\Actor_03\03_01_01_02_kids-talking_sad.wav,sad
60,speech_emotion/data/training\Actor_03\03_01_02_01_dogs-sitting_sad.wav,sad
61,speech_emotion/data/training\Actor_03\03_01_02_01_kids-talking_sad.wav,sad
62,speech_emotion/data/training\Actor_03\03_01_02_02_dogs-sitting_sad.wav,sad
63,speech_emotion/data/training\Actor_03\03_01_02_02_kids-talking_sad.wav,sad
64,speech_emotion/data/training\Actor_03\03_02_01_01_dogs-sitting_sad.wav,sad
65,speech_emotion/data/training\Actor_03\03_02_01_01_kids-talking_sad.wav,sad
66,speech_emotion/data/training\Actor_03\03_02_01_02_dogs-sitting_sad.wav,sad
67,speech_emotion/data/training\Actor_03\03_02_01_02_kids-talking_sad.wav,sad
68,speech_emotion/data/training\Actor_03\03_02_02_01_dogs-sitting_sad.wav,sad
69,speech_emotion/data/training\Actor_03\03_02_02_01_kids-talking_sad.wav,sad
70,speech_emotion/data/training\Actor_03\03_02_02_02_dogs-sitting_sad.wav,sad
71,speech_emotion/data/training\Actor_03\03_02_02_02_kids-talking_sad.wav,sad
72,speech_emotion/data/training\Actor_04\03-02-04-01-01-01-04_sad.wav,sad
